Company Name,Sector,About,URL,Logo URL
A. Menarini Asia-Pacific Holdings Pte Ltd,HEALTHCARE,"Menarini Asia-Pacific is a member of the Menarini Group, the world’s largest Italian biopharmaceutical company with a heritage of over 135 years and over 17,000 employees in more than 140 countries. Here in Asia-Pacific, Menarini has a direct presence in 13 major healthcare markets with over 3500 employees and strives to be a leading provider of important healthcare brands and services to invigorate lives in the region. With robust R&D and manufacturing prowess, together with a distinctive omnichannel strategy, Menarini Asia-Pacific operates across the entire commercial value chain, from clinical development, regulatory approval and product launch to lifecycle management with a diverse portfolio of proprietary and partnered brands in Consumer Health, Dermatology, Allergy/Respiratory, Gastroenterology, Cardio-metabolic, Anti-infectives, Oncology/Specialty Care and Men’s Health.For more information, visit https://www.menariniapac.com",https://italchamber.org.sg/membership-directory/corporate/222302#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/5cdb2e9b-b7f3-4a38-87e8-94fe9927e9a3.png
Accenture Pte Ltd,BUSINESS SERVICES,"Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale. We are a talent- and innovation-led company with 742,000 people serving clients in more than 120 countries. Technology is at the core of change today, and we are one of the world’s leaders in helping drive that change, with strong ecosystem relationships. We combine our strength in technology and leadership in cloud, data and AI with unmatched industry experience, functional expertise and global delivery capability. We are uniquely able to deliver tangible outcomes because of our broad range of services, solutions and assets across Strategy & Consulting, Technology, Operations, Industry X and Song. These capabilities, together with our culture of shared success and commitment to creating 360° value, enable us to help our clients reinvent and build trusted, lasting relationships. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities. Visit us at www.accenture.com.",https://italchamber.org.sg/membership-directory/corporate/222240#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/5116a978-388f-476e-ba33-6fca11aa2465.png
Acqua di Parma,LUXURY RETAIL,"Acqua di Parma, the epitome of Italian sophistication, continues a century-long legacy, intertwining traditional craftsmanship with modern artistry. Incepted by Colonia, the Maison’s hallmark fragrance, through the vision of baron Carlo Magnani, Acqua di Parma is the essence of an attitude that embodies a dynamic, modern, and original lifestyle.Made for the personal use of the baron and a small circle of loved ones, the original composition is an open invitation to those seeking a modern Arte di Vivere, a life of vibrance and luminescence.",https://italchamber.org.sg/membership-directory/corporate/2700568#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/dec604e5-d7c6-4654-be1d-49fade1937b6.png
Adecco Italia SPA,BUSINESS SERVICES,"We are the world’s leading workforce solutions company, offering flexible placement, permanent placement, outsourcing and managed services across all sectors.At Adecco, our purpose is “making the future work for everyone”. We believe in the potential of people. We deliver the right talent capabilities at the right time, enabling flexibility and agility for clients.Our global scale, local knowledge, and ‘always on approach’ matches the best candidates across a wide range of office, industrial and service sector roles. As a career partner, we support the employability of our Associates and are committed to their success.",https://italchamber.org.sg/membership-directory/corporate/2535035#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/1692f071-5c65-4263-b0a3-f6c78afcca1f.png
Aither Asia Pte Ltd,BUSINESS SERVICES,"Aither AG/Asia is headquartered in Switzerland and has 15 years of experience in environmental commodities markets.Active as an aggregator, trading and project development company operative across 12 offices with US$ 2.0bn in annual gross revenue (EU ETS $4.50 billion trades, 8-10 million tonnes of Offsets annually, GOs/IRECs 20 TWh annually and now biomethane).Our carbon development team is currently managing 15 carbon and plastic recycling projects globally, some of which are catered to insetting on behalf of ENI Spa, and other multinationals in the field of carbon removals and reduction projects.Andrea Rumignani has opened their Asia presence in Singapore in 2023 and currently expanding the team across environmental products (primarily RECs and Carbon Credits) within the compliance and voluntary markets.",https://italchamber.org.sg/membership-directory/corporate/2369712#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/1cb0fafb-475c-4360-b4e3-89315317cb28.png
Alfa International Pte Ltd,FOOD AND BEVERAGE,"Established in 1974, Alfa International Pte Ltd is a privately held corporation based in Singapore, offering food & beverage (F&B) professionals an extensive range of wines from 18 countries in both the Old and New World: France, Italy, Spain, Portugal, Austria, Australia, UK, New Zealand, Argentina, Chile, Israel, Syria and many more. We specialize in unique handcrafted wines that are highly acclaimed and often produced in allocated quantities. Representing some of the most renowned and outstanding wineries in the world, Alfa International is the sole distributing agent in Singapore working exclusively with these dedicated winemakers. Alfa International is one of the pioneers in Southeast Asia with an online platform to offer exquisite selection and provide comprehensive knowledge to wine lovers and novices. In line with our philosophy and vision, we strive to provide fine wines distribution and services, including wine tastings, dinner events, and consultations. Alfa International also imports and distributes Surgiva sparkling and still water from Italy. Striving for continual excellence, we are always looking to improve our products and services through providing dedicated training and consultation services to F&B professionals and maintaining optimal conditions in our storage facilities and delivery service.",https://italchamber.org.sg/membership-directory/corporate/232403#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/c1e8ba99-6a81-4a70-8574-f5d6432adc94.png
Alfagomma Pacific Pte Ltd,MECHANICAL AND INDUSTRIAL/ENGINEERING,"Alfagomma Pacific Pte Ltd is a fully owned subsidiary of Alfagomma SpA.Alfagomma Group is a global manufacturer specialized in highly engineered, complex hydraulic and industrial products, created with a commitment to excellence in quality and innovation.Alfagomma strategy is to be a single source integrated system supplier supporting its partners with:Complete product range: hydraulic hose, hydraulic fittings & adapters, quick couplings, hydraulic hose assemblies, rigid tubes, hydraulic components and accessories, industrial rubber & thermoplastic hoses, industrial stainless steel corrugated flexible hoses, industrial fittings, industrial hose assemblies, hose assembly equipment.Continuous new product research and development; technical innovation and customized solutions, constant high quality and total fulfillment of environmental standards and norms (ISO 9001-ISO 14000); global presence and logistic support; communication, training & advertising program; strong OEM expertise and commitment to long term partnership; proven customer satisfaction record; long term strategic and non opportunistic approach to the market.",https://italchamber.org.sg/membership-directory/corporate/247532#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/0f27a89e-a350-4f7f-9d73-82e86004e442.png
Algebra Pte Ltd,LEGAL AND ACCOUNTING FIRMS,"Founded in 2015 by a group of Italian professionals, Algebra Pte Ltd is a boutique consulting firm based in Singapore, dedicated to support Italian businesses and investors throughout Southeast Asia. With a robust presence in Singapore, Australia, and the Philippines, and supported by a network of partner firms across Asia, Algebra specializes in a wide array of services including tax, accounting, corporate services, and compliance.Our expertise extends to strategic consulting, where we guide companies through market entry strategies, mergers and acquisitions, and sustainable growth plans in the region. Our Virtual CFO services offer businesses the advantage of high-level financial expertise without the need for a full-time CFO, providing strategic financial input and leadership to help clients make informed business decisions.Algebra's team of over 15 certified professionals ensures excellence and compliance in every venture, facilitating everything from company incorporation, statutory compliance, and tax planning, to more complex requirements like transfer pricing documentation and cross-border tax structuring.As a technology-driven firm, we guarantee efficient and seamless integration for businesses operating both locally and internationally, enhancing connectivity and real-time decision-making across borders.Discover more about how we can assist your business journey in Asia at www.algebra.sg.",https://italchamber.org.sg/membership-directory/corporate/232404#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/ab79ac90-6655-41ef-8e6c-5bff505e7c7e.png
Alifood s.r.l.,FOOD AND BEVERAGE,"Alifood is a world-leading trading company and niche marketer of food and agricultural products, whose core business is high-quality typical and traditional Italian food products and ingredients. Alifood performs several functions in food business markets, finds producers, sorts out the buyers and has an important role in logistics services. The core business is not only to keep in touch with high-quality producers and buyers, but also to offer to its clients and partners a complete package of services.",https://italchamber.org.sg/membership-directory/corporate/990482#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/cab4cc30-5497-4d30-88b1-bf40a0b67853.png
Angra Wine & Spirit Importers Pte Ltd,FOOD AND BEVERAGE,"Angra Wine & Spirit was founded in 2005 with the mission to import and distribute high-quality, authentic wines and beers. Driven by the passion and the pride to share the full wine experience, Angra curates’ labels from the best winemakers across the World.Today, Angra is one of the main distributors of wines in Singapore. Angra prides itself on an unwavering commitment to wine enthusiasts by providing truly extraordinary quality at reasonable prices. Angra’s portfolio consists of over 90 worldwide known wineries. Each product featured in our portfolio has been specifically selected for its quality, innovation and respect for tradition. Partnering with multiple award-winning wine producers from across the world, Angra is able to import the finest wines into Singapore.Our knowledge of and passion for our products, combined with a commitment to customer service, have enabled Angra to build lasting relationships with a sophisticated and demanding customer base.In addition to importing and distributing wines, Angra Wine & Spirit offers a large number of services, from wedding events to corporate event services, including staff training for F&B restaurants/bars/clubs/hotels and B2B marketing consulting to its clients.At Angra Wine & Spirit we are passionate about sharing and growing the wine culture, we are dedicated to transmitting the extraordinary journey from harvesting the grapes to the final bottled experience.",https://italchamber.org.sg/membership-directory/corporate/232462#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/392ec65d-510c-4377-8bb1-8ef32153dbab.png
